elevation,slope,twi,stream_proximity,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,flood_label,event_date
337,13.648222923278809,8.864923152654665,738.4933730035921,10,239.73255160823464,735.4032049179077,222.4729111790657,382.91257095336914,151.02136301994324,216.27971124649048,115.67339792940766,0,2020-10-12
249,17.122650146484375,9.725704378431269,1371.642002900385,10,193.2692782523227,558.1917576789856,194.31004291772842,558.1912795305252,133.64714749064296,186.97071504592896,58.60442276112735,0,2020-10-12
135,19.331558227539062,8.901357059948102,1100.5731374227273,10,197.89811371080577,540.4665293693542,265.0386731624603,349.959739997983,118.47668773122132,171.272074341774,185.5902356505394,0,2020-10-12
148,19.536928176879883,9.737087945573286,497.00862642653675,10,197.89811371080577,540.4665293693542,265.0386731624603,349.959739997983,118.47668773122132,171.272074341774,185.5902356505394,0,2020-10-12
400,10.80981731414795,9.104063857160293,1612.4593917911943,10,197.89811371080577,540.4665293693542,265.0386731624603,349.959739997983,118.47668773122132,171.272074341774,185.5902356505394,0,2020-10-12
31,8.520633697509766,10.73218685046924,1059.7881547469865,10,229.21445401757956,358.28170692920685,404.03350710868835,432.8627983443439,49.692346847616136,172.26121950149536,262.5131178200245,0,2020-10-12
53,6.0142974853515625,10.104974789996847,1128.6196834483114,10,239.73255160823464,735.4032049179077,222.4729111790657,382.91257095336914,151.02136301994324,216.27971124649048,115.67339792940766,0,2020-10-12
568,6.973675727844238,9.550845156373914,403.33221071282765,10,165.681136357598,701.9701819419861,164.47099082171917,525.1545954942703,120.41150357201695,119.19386260956526,86.8203439116478,0,2020-10-12
12,2.7802884578704834,11.166791623224912,1492.9895837832344,10,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,0,2020-10-12
199,7.666765213012695,9.454534173303786,1488.8935318107135,50,217.0370986671187,742.2109990119934,217.60689169168472,379.71167397499084,126.30127397179604,213.72199056856334,184.77147774398327,0,2020-10-12
21,2.9429781436920166,17.56372592156395,19.481877599883788,10,218.81273520784453,625.0633637905121,244.7974977493286,358.480039909482,110.99182415381074,189.96638504602015,166.51690559089184,0,2020-10-12
