system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
1962,2,0,10,34.80999903380871,6.329999849200249,17.219999657943845,32.189999505877495,0.30999999679625034,2.7999999821186066,-9999,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.12778689501721,10.195518327913355]}"
1963,3,0,10,29.589999379590154,2.7099999487400055,15.109999436885118,34.599999068304896,5.489999815821648,4.459999928250909,-9999,2.0985427,3.3065373572868046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.08062534260091,9.98369558391797]}"
1964,2,0,10,25.57999954558909,10.329999586567283,14.369999594986439,31.38999933935702,10.239999817684293,2.4799999818205833,0.04999999701976776,3.9582512,3.769445115752595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.85182443973565,9.850565258811457]}"
1965,8,0,10,36.85999910533428,6.399999916553497,22.279999282211065,29.519999351352453,0.2299999911338091,2.4399999491870403,-9999,1.3217103,7.170321172903336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23369826701492,10.057267605687365]}"
1966,2,0,10,32.0699992403388,9.619999848306179,17.119999749585986,30.309999322518706,4.459999976679683,3.299999902024865,-9999,2.969386,2.958976721965979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.00139393454157,9.79343240674146]}"
1967,0,0,30,39.45999917387962,7.149999886751175,23.949999576434493,33.06999905593693,0.5399999786168337,5.839999878779054,0.07999999821186066,2.8225362,3.009782566611503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35038942242204,9.933569591064106]}"
1968,3,0,30,41.92999921925366,24.279999189078808,20.759999312460423,32.69999910891056,2.809999892488122,1.969999946653843,0.12999999523162842,2.0800164,6.749399807857932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27520043314121,10.417312371562467]}"
1969,-4,0,10,38.19999913871288,3.079999892041087,17.219999507069588,32.089999191462994,2.1099999602884054,3.59999986179173,-9999,2.9687064,3.6523532521843847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.10353238234597,9.70854161239216]}"
1970,1,0,10,33.09999932534993,16.09999969601631,14.129999727010727,33.509999100118876,6.699999762699008,3.6399999242275953,1.149999976158142,2.0992491,4.692494842886134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.83457678628059,10.118981865706374]}"
1971,0,0,80,35.73999913036823,6.599999755620956,11.929999750107527,48.8799988925457,0.3299999926239252,0.589999983087182,0.4099999815225601,0.92740995,4.8166472338401025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41183418785579,9.60559468083207]}"
1972,9,0,60,36.999999321997166,32.14999927021563,9.919999614357948,21.279999485239387,19.149999568238854,11.979999713599682,0.5099999867379665,2.0799148,17.08495950964912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.46752516118937,10.342662371452136]}"
1973,-3,0,40,34.71999943628907,41.259998774155974,11.109999746084213,36.9399987179786,12.579999657347798,11.699999652802944,1.7899999432265759,7.1268706,5.07491174997109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.52843093745264,10.425397209119545]}"
1974,3,0,40,40.08999851718545,28.929999563843012,15.229999566450715,27.24999962002039,2.1099999267607927,8.669999923557043,1.8699999675154686,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.82676144330873,10.479296126166716]}"
1975,8,0,40,37.17999929189682,29.889999305829406,7.519999733194709,18.609999760985374,17.439999625086784,3.8399998918175697,0.04999999701976776,2.9739387,2.9574419654396573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.36996812133395,10.341853887696423]}"
1976,1,0,10,35.51999934017658,4.9899998642504215,19.209999591112137,32.61999909579754,1.1099999565631151,4.209999777376652,-9999,2.0793421,3.315737095873552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28166830318685,9.911740529660001]}"
1977,1,0,10,21.189999617636204,18.539999417960644,16.349999777972698,36.07999921962619,9.839999729767442,11.77999965660274,16.049999628216028,3.8704872,2.6933246720647848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.36376974587353,9.701534753176034]}"
1978,3,0,10,29.589999379590154,2.7099999487400055,15.109999436885118,34.599999068304896,5.489999815821648,4.459999928250909,-9999,2.0984118,5.945657117374898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.05044194905452,9.958363092905806]}"
1979,2,0,80,32.68999928608537,6.439999885857105,5.649999897927046,42.50999868474901,0.9199999887496233,2.10999995470047,0.7399999722838402,2.0964756,3.307523735462874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37949483762748,9.576219771041359]}"
1980,3,0,10,18.309999542310834,19.34999960102141,11.489999663084745,43.009998977184296,17.909999320283532,9.12999987974763,14.899999752640724,2.7802885,5.8581011414654345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.37778346430582,9.698031323567967]}"
1981,5,0,10,39.9999991171062,20.099999414756894,16.949999507516623,28.579999282956123,1.3499999232590199,5.599999859929085,0.14000000059604645,2.079923,4.008604756822162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.91273021599898,10.348591252327324]}"
1982,1,0,10,25.649999467656016,11.439999718219042,17.32999975979328,33.089999275282025,12.449999839067459,7.13999979570508,2.2599999457597733,5.271845,2.3830198450807045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.76289122660785,9.935186558575516]}"
1983,2,0,10,40.04999906383455,22.639999225735664,17.20999962091446,30.209999430924654,2.4899999480694532,3.9399998486042023,0.14999999105930328,2.1012204,3.305261057324677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18033833913819,10.486572479968082]}"
1984,6,0,50,18.409999499097466,54.61999884061515,17.789999540895224,9.429999807849526,4.849999830126762,9.019999856129289,-9999,1.3216666,3.769156904440095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.08511234473968,10.036247028038964]}"
1985,4,0,40,33.55999891459942,27.909999400377274,9.949999690055847,15.189999857917428,4.1999998688697815,4.439999872818589,0.08999999612569809,4.1956053,3.305547734448201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.21069682145958,10.375810205436146]}"
1986,4,0,10,41.90999846160412,16.759999630972743,36.129999205470085,41.55999889224768,0.6599999889731407,2.8399999756366014,-9999,2.1003373,6.078270525617885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38919664269599,10.323528255900385]}"
1987,-1,0,40,21.299999438226223,25.13999936915934,15.3799995072186,38.319999143481255,9.429999800398946,14.91999963670969,28.55999930948019,3.3742511,6.008951212996649,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.46590819367793,9.754894681052733]}"
